name,address,latitude,longitude
마린시티점,부산광역시 해운대구 마린시티1로 127,35.154787253959,129.146692803602
롯데프리미엄아울렛동부산점,부산광역시 기장군 기장읍 기장해안로 147 롯데프리미엄아울렛동부산점,35.1923229796397,129.212495349946
부산장산역점,부산광역시 해운대구 세실로 75,35.1712911978093,129.176768537085
해운대중앙점,부산광역시 해운대구 구남로 27,35.161756049363,129.160891004603
이마트해운대점,부산광역시 해운대구 좌동순환로 511,35.1660208153462,129.167373764158
부산W스퀘어점,"부산광역시 남구 분포로 145 더블유스퀘어 1004,1005호",35.1342294576999,129.111216765972
다대포항역점,부산광역시 사하구 다대로 550,35.0572853070202,128.970744846532
딜라이트 프로젝트 해운대점,부산광역시 해운대구 구남로 42,35.1604451759281,129.161137451035
부산영도점,부산광역시 영도구 대교로 16 올리브영 부산영도점,35.0936655390956,129.043353357879
부산장산점,부산광역시 해운대구 세실로27번길 23,35.1688606435588,129.177781181108
해운대엘시티점,부산광역시 해운대구 달맞이길 30 엘시티 포디움동,35.1613327099223,129.168013841974
부산다대포점,부산광역시 사하구 다대로 698,35.0485885803432,128.965360439629
부산용호점,부산광역시 남구 동명로 139,35.1197172740946,129.112295349926
음성금왕점,충청북도 음성군 금왕읍 무극로278번길 4,36.9926457580625,127.592551602549
충북혁신도시점,충청북도 음성군 맹동면 대하로 227,36.9085205069921,127.541271838151
충북진천점,충청북도 진천군 진천읍 상산로 86-1,36.8545000627195,127.4436256942
서충주점,"충청북도 충주시 중앙탑면 기업도시로 214 103,104,105호",37.0161434593041,127.82519061374
증평점,충청북도 증평군 증평읍 중앙로 184-1,36.7827031739936,127.579977802451
청주오창점,충청북도 청주시 청원구 오창읍 중심상업로 48 123~128호,36.7149558218881,127.429974232672
충주터미널점,충청북도 충주시 봉계1길 54,36.9811868664378,127.915686939086
충주연수점,충청북도 충주시 연수동산로4길 2 올리브영,36.9828976688937,127.939912119714
충주점,충청북도 충주시 성서8길 18,36.9708622306274,127.932736617218
충주호암점,충청북도 충주시 형설로 48 라동(호암동),36.9581034338134,127.940794407788
청주오송점,충청북도 청주시 흥덕구 오송읍 오송생명5로 183-3,36.6303474895853,127.330210979543
청주오송2지구점,충청북도 청주시 흥덕구 오송읍 오송생명11로 48,36.6192018723668,127.316095986201
청주율량점,충청북도 청주시 청원구 충청대로 174,36.6716607806071,127.496512807621
롯데아울렛청주점,충청북도 청주시 흥덕구 2순환로 1004 롯데아울렛청주점,36.6451741075822,127.421643447175
청주지웰점,충청북도 청주시 흥덕구 대농로 39 B동 107-1,36.6423374175194,127.426913157763
청주율량2지구점,충청북도 청주시 청원구 1순환로 144,36.6645629225626,127.496530186375
청주신봉네거리점,충청북도 청주시 흥덕구 사운로 303,36.6540688680858,127.470538839337
